,Spend,Impressions,Reach,WebsiteClicks,Searches,ViewContent,AddtoCart,Purchase,ROI,ConversionRate,CTR
Spend,1.0,0.27064059754136177,0.19556931171877803,-0.09404463059149638,-0.017398176638406003,-0.06314577905116023,-0.06471457676615112,0.04299422903633783,-0.36980958368822,0.0600608186743016,-0.21917284813019428
Impressions,0.27064059754136177,1.0,0.9608747124327754,-0.11418597199428347,-0.2390488112811685,-0.2579333595047974,-0.02794266015243385,-0.015302540091317554,-0.11699008050404736,0.12111077106790472,-0.6106169162317119
Reach,0.19556931171877803,0.9608747124327754,1.0,-0.059206599361045484,-0.1981884187582734,-0.21176120344366026,-0.051086127246340346,-0.004126392089858406,-0.09038864807443027,0.10039763540194413,-0.5537280398879622
WebsiteClicks,-0.09404463059149638,-0.11418597199428347,-0.059206599361045484,1.0,0.529415818878423,0.5713125207019232,0.09711797307319793,-0.2688401902772312,-0.20622470342048976,-0.7574364347302129,0.8397720996821553
Searches,-0.017398176638406003,-0.2390488112811685,-0.1981884187582734,0.529415818878423,1.0,0.9892293311885542,0.05895976438097427,-0.09354883621048725,-0.08537046895117778,-0.2968066646916112,0.5539556279598368
ViewContent,-0.06314577905116023,-0.2579333595047974,-0.21176120344366026,0.5713125207019232,0.9892293311885542,1.0,0.05257742884306324,-0.1198210535160998,-0.08111038566077024,-0.3545505566591462,0.5968199317675215
AddtoCart,-0.06471457676615112,-0.02794266015243385,-0.051086127246340346,0.09711797307319793,0.05895976438097427,0.05257742884306324,1.0,0.08854695571019659,0.09567621946247486,0.04708921850618383,0.15039634836301474
Purchase,0.04299422903633783,-0.015302540091317554,-0.004126392089858406,-0.2688401902772312,-0.09354883621048725,-0.1198210535160998,0.08854695571019659,1.0,0.9004058734736132,0.7283179093286777,-0.15016563450123954
ROI,-0.36980958368822,-0.11699008050404736,-0.09038864807443027,-0.20622470342048976,-0.08537046895117778,-0.08111038566077024,0.09567621946247486,0.9004058734736132,1.0,0.6351574056720167,-0.04615388710818682
ConversionRate,0.0600608186743016,0.12111077106790472,0.10039763540194413,-0.7574364347302129,-0.2968066646916112,-0.3545505566591462,0.04708921850618383,0.7283179093286777,0.6351574056720167,1.0,-0.6261354234917241
CTR,-0.21917284813019428,-0.6106169162317119,-0.5537280398879622,0.8397720996821553,0.5539556279598368,0.5968199317675215,0.15039634836301474,-0.15016563450123954,-0.04615388710818682,-0.6261354234917241,1.0
