,Spend,Impressions,Reach,WebsiteClicks,Searches,ViewContent,AddtoCart,Purchase,ROI,ConversionRate,CTR
Spend,1.0,0.09273863192794952,0.0559257186442523,-0.18685998351917146,-0.07211530403034219,0.08515550179687432,0.14883580165866908,0.028203203617675993,-0.2777832854101083,0.11714409930526934,-0.07846628212193468
Impressions,0.09273863192794952,1.0,0.7793743926685485,-0.13279989609733794,0.013009632072671426,-0.015052546972379257,0.05336635878899669,0.10256649743477673,0.08515857110028098,0.20380807785793353,-0.7642831813901325
Reach,0.0559257186442523,0.7793743926685485,1.0,-0.2965821721001437,0.1722450852405042,0.02391837479033901,-0.06403699074954206,0.07618420849280362,0.08581853504294434,0.30235712457234254,-0.6593178388587231
WebsiteClicks,-0.18685998351917146,-0.13279989609733794,-0.2965821721001437,1.0,0.02702724042842535,0.28039791488829485,0.14117343108197902,0.17205588550517587,0.20746852330613352,-0.48478839488330316,0.5440198764476336
Searches,-0.07211530403034219,0.013009632072671426,0.1722450852405042,0.02702724042842535,1.0,0.7933529217423918,0.28858017437575684,0.29245666253168695,0.26606730250329114,0.3285126782387123,0.18108591975032445
ViewContent,0.08515550179687432,-0.015052546972379257,0.02391837479033901,0.28039791488829485,0.7933529217423918,1.0,0.25752511239013876,0.25884991406191,0.1815133586541928,0.1403389416835038,0.2943174393712318
AddtoCart,0.14883580165866908,0.05336635878899669,-0.06403699074954206,0.14117343108197902,0.28858017437575684,0.25752511239013876,1.0,0.7987180506633494,0.7279815861047759,0.5920765222081111,0.0028822555908074973
Purchase,0.028203203617675993,0.10256649743477673,0.07618420849280362,0.17205588550517587,0.29245666253168695,0.25884991406191,0.7987180506633494,1.0,0.9395375129915489,0.7393666692764892,0.0009112728183244296
ROI,-0.2777832854101083,0.08515857110028098,0.08581853504294434,0.20746852330613352,0.26606730250329114,0.1815133586541928,0.7279815861047759,0.9395375129915489,1.0,0.6587349702716261,0.008377597107180666
ConversionRate,0.11714409930526934,0.20380807785793353,0.30235712457234254,-0.48478839488330316,0.3285126782387123,0.1403389416835038,0.5920765222081111,0.7393666692764892,0.6587349702716261,1.0,-0.35358060039460326
CTR,-0.07846628212193468,-0.7642831813901325,-0.6593178388587231,0.5440198764476336,0.18108591975032445,0.2943174393712318,0.0028822555908074973,0.0009112728183244296,0.008377597107180666,-0.35358060039460326,1.0
